"Label (Grouping)","Median value (dollars)"
"Census Tract 260.21, Hennepin County, Minnesota",""
"    Estimate","472,700"
"Census Tract 260.23, Hennepin County, Minnesota",""
"    Estimate","314,000"
"Census Tract 260.24, Hennepin County, Minnesota",""
"    Estimate","342,900"
"Census Tract 260.25, Hennepin County, Minnesota",""
"    Estimate","484,100"
"Census Tract 260.26, Hennepin County, Minnesota",""
"    Estimate","537,300"
"Census Tract 260.27, Hennepin County, Minnesota",""
"    Estimate","476,500"
"Census Tract 260.28, Hennepin County, Minnesota",""
"    Estimate","398,900"
"Census Tract 261.01, Hennepin County, Minnesota",""
"    Estimate","344,600"
"Census Tract 261.03, Hennepin County, Minnesota",""
"    Estimate","345,200"
"Census Tract 261.04, Hennepin County, Minnesota",""
"    Estimate","195,500"
"Census Tract 262.01, Hennepin County, Minnesota",""
"    Estimate","421,200"
"Census Tract 262.02, Hennepin County, Minnesota",""
"    Estimate","355,400"
"Census Tract 262.05, Hennepin County, Minnesota",""
"    Estimate","354,200"
"Census Tract 262.06, Hennepin County, Minnesota",""
"    Estimate","398,400"
"Census Tract 262.07, Hennepin County, Minnesota",""
"    Estimate","356,700"
"Census Tract 262.08, Hennepin County, Minnesota",""
"    Estimate","369,400"
"Census Tract 263.01, Hennepin County, Minnesota",""
"    Estimate","532,500"
"Census Tract 263.02, Hennepin County, Minnesota",""
"    Estimate","402,400"
"Census Tract 264.03, Hennepin County, Minnesota",""
"    Estimate","332,400"
"Census Tract 264.04, Hennepin County, Minnesota",""
"    Estimate","444,300"
"Census Tract 264.05, Hennepin County, Minnesota",""
"    Estimate","328,200"
"Census Tract 264.06, Hennepin County, Minnesota",""
"    Estimate","160,800"
"Census Tract 265.05, Hennepin County, Minnesota",""
"    Estimate","353,400"
"Census Tract 265.07, Hennepin County, Minnesota",""
"    Estimate","308,700"
"Census Tract 265.08, Hennepin County, Minnesota",""
"    Estimate","353,400"
"Census Tract 265.09, Hennepin County, Minnesota",""
"    Estimate","373,100"
"Census Tract 265.10, Hennepin County, Minnesota",""
"    Estimate","304,700"
"Census Tract 265.11, Hennepin County, Minnesota",""
"    Estimate","342,500"
"Census Tract 265.14, Hennepin County, Minnesota",""
"    Estimate","260,300"
"Census Tract 265.15, Hennepin County, Minnesota",""
"    Estimate","333,200"
"Census Tract 265.16, Hennepin County, Minnesota",""
"    Estimate","389,500"
"Census Tract 266.05, Hennepin County, Minnesota",""
"    Estimate","398,600"
"Census Tract 266.06, Hennepin County, Minnesota",""
"    Estimate","444,900"
"Census Tract 266.09, Hennepin County, Minnesota",""
"    Estimate","342,300"
"Census Tract 266.10, Hennepin County, Minnesota",""
"    Estimate","379,800"
"Census Tract 266.11, Hennepin County, Minnesota",""
"    Estimate","266,300"
"Census Tract 266.14, Hennepin County, Minnesota",""
"    Estimate","392,300"
"Census Tract 266.15, Hennepin County, Minnesota",""
"    Estimate","389,600"
"Census Tract 266.16, Hennepin County, Minnesota",""
"    Estimate","566,900"
"Census Tract 266.17, Hennepin County, Minnesota",""
"    Estimate","414,600"
"Census Tract 267.02, Hennepin County, Minnesota",""
"    Estimate","206,700"
"Census Tract 267.06, Hennepin County, Minnesota",""
"    Estimate","261,700"
"Census Tract 267.07, Hennepin County, Minnesota",""
"    Estimate","253,700"
"Census Tract 267.08, Hennepin County, Minnesota",""
"    Estimate","288,600"
"Census Tract 267.11, Hennepin County, Minnesota",""
"    Estimate","219,900"
"Census Tract 267.12, Hennepin County, Minnesota",""
"    Estimate","262,800"
"Census Tract 267.13, Hennepin County, Minnesota",""
"    Estimate","271,300"
"Census Tract 267.17, Hennepin County, Minnesota",""
"    Estimate","280,200"
"Census Tract 267.18, Hennepin County, Minnesota",""
"    Estimate","372,000"
"Census Tract 267.19, Hennepin County, Minnesota",""
"    Estimate","423,500"
"Census Tract 267.20, Hennepin County, Minnesota",""
"    Estimate","402,400"
"Census Tract 267.21, Hennepin County, Minnesota",""
"    Estimate","309,500"
"Census Tract 267.22, Hennepin County, Minnesota",""
"    Estimate","441,300"
"Census Tract 267.23, Hennepin County, Minnesota",""
"    Estimate","466,800"
"Census Tract 267.24, Hennepin County, Minnesota",""
"    Estimate","329,500"
"Census Tract 267.25, Hennepin County, Minnesota",""
"    Estimate","238,200"
"Census Tract 267.26, Hennepin County, Minnesota",""
"    Estimate","270,600"
"Census Tract 268.07, Hennepin County, Minnesota",""
"    Estimate","224,300"
"Census Tract 268.09, Hennepin County, Minnesota",""
"    Estimate","183,200"
"Census Tract 268.11, Hennepin County, Minnesota",""
"    Estimate","203,500"
"Census Tract 268.12, Hennepin County, Minnesota",""
"    Estimate","279,200"
"Census Tract 268.14, Hennepin County, Minnesota",""
"    Estimate","217,600"
"Census Tract 268.15, Hennepin County, Minnesota",""
"    Estimate","232,600"
"Census Tract 268.16, Hennepin County, Minnesota",""
"    Estimate","198,700"
"Census Tract 268.18, Hennepin County, Minnesota",""
"    Estimate","191,700"
"Census Tract 268.19, Hennepin County, Minnesota",""
"    Estimate","204,100"
"Census Tract 268.22, Hennepin County, Minnesota",""
"    Estimate","278,200"
"Census Tract 268.23, Hennepin County, Minnesota",""
"    Estimate","297,700"
"Census Tract 268.24, Hennepin County, Minnesota",""
"    Estimate","373,000"
"Census Tract 268.25, Hennepin County, Minnesota",""
"    Estimate","256,200"
"Census Tract 268.26, Hennepin County, Minnesota",""
"    Estimate","329,800"
"Census Tract 268.27, Hennepin County, Minnesota",""
"    Estimate","249,700"
"Census Tract 268.28, Hennepin County, Minnesota",""
"    Estimate","170,900"
"Census Tract 269.03, Hennepin County, Minnesota",""
"    Estimate","287,000"
"Census Tract 269.06, Hennepin County, Minnesota",""
"    Estimate","240,800"
"Census Tract 269.07, Hennepin County, Minnesota",""
"    Estimate","329,000"
"Census Tract 269.08, Hennepin County, Minnesota",""
"    Estimate","230,400"
"Census Tract 269.10, Hennepin County, Minnesota",""
"    Estimate","357,000"
"Census Tract 269.11, Hennepin County, Minnesota",""
"    Estimate","343,600"
"Census Tract 269.12, Hennepin County, Minnesota",""
"    Estimate","366,700"
"Census Tract 270.01, Hennepin County, Minnesota",""
"    Estimate","420,600"
"Census Tract 270.02, Hennepin County, Minnesota",""
"    Estimate","405,700"
"Census Tract 271.01, Hennepin County, Minnesota",""
"    Estimate","497,100"
"Census Tract 271.02, Hennepin County, Minnesota",""
"    Estimate","376,700"
"Census Tract 272.02, Hennepin County, Minnesota",""
"    Estimate","306,700"
"Census Tract 272.03, Hennepin County, Minnesota",""
"    Estimate","693,300"
"Census Tract 272.04, Hennepin County, Minnesota",""
"    Estimate","602,900"
"Census Tract 272.05, Hennepin County, Minnesota",""
"    Estimate","850,500"
"Census Tract 273, Hennepin County, Minnesota",""
"    Estimate","596,400"
"Census Tract 274, Hennepin County, Minnesota",""
"    Estimate","629,200"
