"Label (Grouping)","Median household income in the past 12 months (in 2022 inflation-adjusted dollars)"
"Census Tract 267.18; Hennepin County; Minnesota",""
"    Estimate","126,541"
"Census Tract 267.19; Hennepin County; Minnesota",""
"    Estimate","171,747"
"Census Tract 267.20; Hennepin County; Minnesota",""
"    Estimate","157,875"
"Census Tract 267.21; Hennepin County; Minnesota",""
"    Estimate","129,479"
"Census Tract 267.22; Hennepin County; Minnesota",""
"    Estimate","180,227"
"Census Tract 267.23; Hennepin County; Minnesota",""
"    Estimate","198,630"
"Census Tract 267.24; Hennepin County; Minnesota",""
"    Estimate","125,216"
"Census Tract 267.25; Hennepin County; Minnesota",""
"    Estimate","119,544"
"Census Tract 267.26; Hennepin County; Minnesota",""
"    Estimate","138,047"
"Census Tract 268.07; Hennepin County; Minnesota",""
"    Estimate","56,250"
"Census Tract 268.09; Hennepin County; Minnesota",""
"    Estimate","59,734"
"Census Tract 268.11; Hennepin County; Minnesota",""
"    Estimate","80,709"
"Census Tract 268.12; Hennepin County; Minnesota",""
"    Estimate","106,369"
"Census Tract 268.14; Hennepin County; Minnesota",""
"    Estimate","116,080"
"Census Tract 268.15; Hennepin County; Minnesota",""
"    Estimate","86,083"
"Census Tract 268.16; Hennepin County; Minnesota",""
"    Estimate","81,689"
"Census Tract 268.18; Hennepin County; Minnesota",""
"    Estimate","76,774"
"Census Tract 268.19; Hennepin County; Minnesota",""
"    Estimate","41,984"
"Census Tract 268.22; Hennepin County; Minnesota",""
"    Estimate","106,642"
"Census Tract 268.23; Hennepin County; Minnesota",""
"    Estimate","141,005"
"Census Tract 268.24; Hennepin County; Minnesota",""
"    Estimate","127,321"
"Census Tract 268.25; Hennepin County; Minnesota",""
"    Estimate","138,017"
"Census Tract 268.26; Hennepin County; Minnesota",""
"    Estimate","138,993"
"Census Tract 268.27; Hennepin County; Minnesota",""
"    Estimate","35,417"
"Census Tract 268.28; Hennepin County; Minnesota",""
"    Estimate","59,129"
"Census Tract 269.03; Hennepin County; Minnesota",""
"    Estimate","120,313"
"Census Tract 269.06; Hennepin County; Minnesota",""
"    Estimate","107,962"
"Census Tract 269.07; Hennepin County; Minnesota",""
"    Estimate","120,118"
"Census Tract 269.08; Hennepin County; Minnesota",""
"    Estimate","115,648"
"Census Tract 269.10; Hennepin County; Minnesota",""
"    Estimate","138,654"
"Census Tract 269.11; Hennepin County; Minnesota",""
"    Estimate","131,573"
"Census Tract 269.12; Hennepin County; Minnesota",""
"    Estimate","163,049"
"Census Tract 270.01; Hennepin County; Minnesota",""
"    Estimate","132,188"
"Census Tract 270.02; Hennepin County; Minnesota",""
"    Estimate","123,571"
"Census Tract 271.01; Hennepin County; Minnesota",""
"    Estimate","194,000"
"Census Tract 271.02; Hennepin County; Minnesota",""
"    Estimate","155,385"
"Census Tract 272.02; Hennepin County; Minnesota",""
"    Estimate","83,750"
"Census Tract 272.03; Hennepin County; Minnesota",""
"    Estimate","73,993"
"Census Tract 272.04; Hennepin County; Minnesota",""
"    Estimate","186,655"
"Census Tract 272.05; Hennepin County; Minnesota",""
"    Estimate","174,254"
"Census Tract 273; Hennepin County; Minnesota",""
"    Estimate","118,456"
"Census Tract 274; Hennepin County; Minnesota",""
"    Estimate","166,915"
"Census Tract 275.01; Hennepin County; Minnesota",""
"    Estimate","116,557"
"Census Tract 275.03; Hennepin County; Minnesota",""
"    Estimate","190,000"
"Census Tract 275.04; Hennepin County; Minnesota",""
"    Estimate","145,368"
"Census Tract 276.01; Hennepin County; Minnesota",""
"    Estimate","100,139"
"Census Tract 276.02; Hennepin County; Minnesota",""
"    Estimate","84,944"
"Census Tract 277.01; Hennepin County; Minnesota",""
"    Estimate","169,063"
"Census Tract 277.02; Hennepin County; Minnesota",""
"    Estimate","101,319"
"Census Tract 277.03; Hennepin County; Minnesota",""
"    Estimate","160,573"
"Census Tract 1002; Hennepin County; Minnesota",""
"    Estimate","65,400"
"Census Tract 1004; Hennepin County; Minnesota",""
"    Estimate","50,878"
"Census Tract 1005; Hennepin County; Minnesota",""
"    Estimate","57,175"
"Census Tract 1007; Hennepin County; Minnesota",""
"    Estimate","62,813"
"Census Tract 1008; Hennepin County; Minnesota",""
"    Estimate","76,667"
"Census Tract 1009; Hennepin County; Minnesota",""
"    Estimate","64,375"
"Census Tract 1012; Hennepin County; Minnesota",""
"    Estimate","114,969"
"Census Tract 1013; Hennepin County; Minnesota",""
"    Estimate","55,066"
"Census Tract 1016; Hennepin County; Minnesota",""
"    Estimate","24,518"
