"Label (Grouping)","Total:!!Owner occupied","Total:!!Renter occupied"
"    Estimate","1,477","72"
"Census Tract 260.25; Hennepin County; Minnesota","",""
"    Estimate","765","42"
"Census Tract 260.26; Hennepin County; Minnesota","",""
"    Estimate","1,675","77"
"Census Tract 260.27; Hennepin County; Minnesota","",""
"    Estimate","1,594","129"
"Census Tract 260.28; Hennepin County; Minnesota","",""
"    Estimate","962","135"
"Census Tract 261.01; Hennepin County; Minnesota","",""
"    Estimate","1,268","46"
"Census Tract 261.03; Hennepin County; Minnesota","",""
"    Estimate","1,214","52"
"Census Tract 261.04; Hennepin County; Minnesota","",""
"    Estimate","1,135","1,396"
"Census Tract 262.01; Hennepin County; Minnesota","",""
"    Estimate","1,275","50"
"Census Tract 262.02; Hennepin County; Minnesota","",""
"    Estimate","1,054","127"
"Census Tract 262.05; Hennepin County; Minnesota","",""
"    Estimate","1,073","98"
"Census Tract 262.06; Hennepin County; Minnesota","",""
"    Estimate","894","413"
"Census Tract 262.07; Hennepin County; Minnesota","",""
"    Estimate","1,030","571"
"Census Tract 262.08; Hennepin County; Minnesota","",""
"    Estimate","1,107","74"
"Census Tract 263.01; Hennepin County; Minnesota","",""
"    Estimate","1,053","764"
"Census Tract 263.02; Hennepin County; Minnesota","",""
"    Estimate","1,280","40"
"Census Tract 264.03; Hennepin County; Minnesota","",""
"    Estimate","817","924"
"Census Tract 264.04; Hennepin County; Minnesota","",""
"    Estimate","1,972","700"
"Census Tract 264.05; Hennepin County; Minnesota","",""
"    Estimate","668","284"
"Census Tract 264.06; Hennepin County; Minnesota","",""
"    Estimate","1,065","958"
"Census Tract 265.05; Hennepin County; Minnesota","",""
"    Estimate","1,137","407"
"Census Tract 265.07; Hennepin County; Minnesota","",""
"    Estimate","1,250","925"
"Census Tract 265.08; Hennepin County; Minnesota","",""
"    Estimate","1,646","359"
"Census Tract 265.09; Hennepin County; Minnesota","",""
"    Estimate","1,773","60"
"Census Tract 265.10; Hennepin County; Minnesota","",""
"    Estimate","893","818"
"Census Tract 265.11; Hennepin County; Minnesota","",""
"    Estimate","667","970"
"Census Tract 265.14; Hennepin County; Minnesota","",""
"    Estimate","913","1,420"
"Census Tract 265.15; Hennepin County; Minnesota","",""
"    Estimate","641","198"
"Census Tract 265.16; Hennepin County; Minnesota","",""
"    Estimate","1,084","603"
"Census Tract 266.05; Hennepin County; Minnesota","",""
"    Estimate","1,369","183"
"Census Tract 266.06; Hennepin County; Minnesota","",""
"    Estimate","1,366","575"
"Census Tract 266.09; Hennepin County; Minnesota","",""
"    Estimate","1,151","40"
"Census Tract 266.10; Hennepin County; Minnesota","",""
"    Estimate","1,573","106"
"Census Tract 266.11; Hennepin County; Minnesota","",""
"    Estimate","1,791","602"
"Census Tract 266.14; Hennepin County; Minnesota","",""
"    Estimate","1,229","88"
"Census Tract 266.15; Hennepin County; Minnesota","",""
"    Estimate","2,290","542"
"Census Tract 266.16; Hennepin County; Minnesota","",""
"    Estimate","3,215","217"
"Census Tract 266.17; Hennepin County; Minnesota","",""
"    Estimate","576","238"
"Census Tract 267.02; Hennepin County; Minnesota","",""
"    Estimate","568","616"
"Census Tract 267.06; Hennepin County; Minnesota","",""
"    Estimate","1,273","23"
"Census Tract 267.07; Hennepin County; Minnesota","",""
"    Estimate","1,762","167"
"Census Tract 267.08; Hennepin County; Minnesota","",""
"    Estimate","2,042","163"
"Census Tract 267.11; Hennepin County; Minnesota","",""
"    Estimate","1,386","122"
"Census Tract 267.12; Hennepin County; Minnesota","",""
"    Estimate","870","442"
"Census Tract 267.13; Hennepin County; Minnesota","",""
"    Estimate","1,528","318"
"Census Tract 267.17; Hennepin County; Minnesota","",""
"    Estimate","1,605","707"
"Census Tract 267.18; Hennepin County; Minnesota","",""
"    Estimate","1,027","427"
"Census Tract 267.19; Hennepin County; Minnesota","",""
"    Estimate","2,002","72"
"Census Tract 267.20; Hennepin County; Minnesota","",""
"    Estimate","1,704","21"
"Census Tract 267.21; Hennepin County; Minnesota","",""
"    Estimate","1,154","25"
"Census Tract 267.22; Hennepin County; Minnesota","",""
"    Estimate","1,556","272"
"Census Tract 267.23; Hennepin County; Minnesota","",""
"    Estimate","1,402","131"
"Census Tract 267.24; Hennepin County; Minnesota","",""
"    Estimate","1,058","1,124"
"Census Tract 267.25; Hennepin County; Minnesota","",""
"    Estimate","945","164"
"Census Tract 267.26; Hennepin County; Minnesota","",""
"    Estimate","1,353","261"
"Census Tract 268.07; Hennepin County; Minnesota","",""
"    Estimate","1,140","1,112"
"Census Tract 268.09; Hennepin County; Minnesota","",""
"    Estimate","374","1,544"
"Census Tract 268.11; Hennepin County; Minnesota","",""
"    Estimate","1,491","274"
"Census Tract 268.12; Hennepin County; Minnesota","",""
"    Estimate","2,190","823"
"Census Tract 268.14; Hennepin County; Minnesota","",""
"    Estimate","1,965","133"
"Census Tract 268.15; Hennepin County; Minnesota","",""
"    Estimate","1,508","293"
"Census Tract 268.16; Hennepin County; Minnesota","",""
"    Estimate","1,654","564"
"Census Tract 268.18; Hennepin County; Minnesota","",""
"    Estimate","1,519","667"
"Census Tract 268.19; Hennepin County; Minnesota","",""
"    Estimate","617","1,501"
"Census Tract 268.22; Hennepin County; Minnesota","",""
"    Estimate","1,639","206"
"Census Tract 268.23; Hennepin County; Minnesota","",""
"    Estimate","1,638","68"
"Census Tract 268.24; Hennepin County; Minnesota","",""
"    Estimate","1,466","236"
"Census Tract 268.25; Hennepin County; Minnesota","",""
"    Estimate","840","36"
"Census Tract 268.26; Hennepin County; Minnesota","",""
"    Estimate","1,232","15"
"Census Tract 268.27; Hennepin County; Minnesota","",""
"    Estimate","565","580"
"Census Tract 268.28; Hennepin County; Minnesota","",""
"    Estimate","656","1,057"
"Census Tract 269.03; Hennepin County; Minnesota","",""
"    Estimate","1,449","308"
"Census Tract 269.06; Hennepin County; Minnesota","",""
"    Estimate","2,533","81"
"Census Tract 269.07; Hennepin County; Minnesota","",""
"    Estimate","1,737","382"
"Census Tract 269.08; Hennepin County; Minnesota","",""
"    Estimate","2,038","119"
"Census Tract 269.10; Hennepin County; Minnesota","",""
"    Estimate","2,602","142"
"Census Tract 269.11; Hennepin County; Minnesota","",""
"    Estimate","1,263","238"
"Census Tract 269.12; Hennepin County; Minnesota","",""
"    Estimate","2,774","334"
"Census Tract 270.01; Hennepin County; Minnesota","",""
"    Estimate","1,104","132"
"Census Tract 270.02; Hennepin County; Minnesota","",""
"    Estimate","1,581","371"
"Census Tract 271.01; Hennepin County; Minnesota","",""
"    Estimate","2,359","241"
"Census Tract 271.02; Hennepin County; Minnesota","",""
"    Estimate","2,284","118"
"Census Tract 272.02; Hennepin County; Minnesota","",""
"    Estimate","445","239"
"Census Tract 272.03; Hennepin County; Minnesota","",""
"    Estimate","880","1,051"
"Census Tract 272.04; Hennepin County; Minnesota","",""
"    Estimate","1,291","40"
"Census Tract 272.05; Hennepin County; Minnesota","",""
"    Estimate","1,029","147"
"Census Tract 273; Hennepin County; Minnesota","",""
"    Estimate","1,296","873"
"Census Tract 274; Hennepin County; Minnesota","",""
"    Estimate","1,564","182"
"Census Tract 275.01; Hennepin County; Minnesota","",""
"    Estimate","1,218","730"
"Census Tract 275.03; Hennepin County; Minnesota","",""
"    Estimate","1,506","118"
"Census Tract 275.04; Hennepin County; Minnesota","",""
"    Estimate","1,241","61"
"Census Tract 276.01; Hennepin County; Minnesota","",""
"    Estimate","1,291","606"
"Census Tract 276.02; Hennepin County; Minnesota","",""
"    Estimate","1,989","528"
"Census Tract 277.01; Hennepin County; Minnesota","",""
"    Estimate","1,207","60"
"Census Tract 277.02; Hennepin County; Minnesota","",""
"    Estimate","768","33"
"Census Tract 277.03; Hennepin County; Minnesota","",""
"    Estimate","1,426","60"
"Census Tract 1002; Hennepin County; Minnesota","",""
"    Estimate","1,237","509"
"Census Tract 1004; Hennepin County; Minnesota","",""
"    Estimate","886","288"
"Census Tract 1005; Hennepin County; Minnesota","",""
"    Estimate","572","467"
"Census Tract 1007; Hennepin County; Minnesota","",""
"    Estimate","1,010","240"
"Census Tract 1008; Hennepin County; Minnesota","",""
"    Estimate","1,050","394"
"Census Tract 1009; Hennepin County; Minnesota","",""
"    Estimate","1,044","566"
"Census Tract 1012; Hennepin County; Minnesota","",""
"    Estimate","1,513","709"
"Census Tract 1013; Hennepin County; Minnesota","",""
"    Estimate","384","401"
"Census Tract 1016; Hennepin County; Minnesota","",""
"    Estimate","272","668"
"Census Tract 1018; Hennepin County; Minnesota","",""
"    Estimate","762","968"
"Census Tract 1019; Hennepin County; Minnesota","",""
"    Estimate","424","997"
"Census Tract 1020; Hennepin County; Minnesota","",""
"    Estimate","558","342"
"Census Tract 1021; Hennepin County; Minnesota","",""
"    Estimate","346","381"
"Census Tract 1025; Hennepin County; Minnesota","",""
"    Estimate","586","907"
"Census Tract 1026; Hennepin County; Minnesota","",""
"    Estimate","395","460"
"Census Tract 1028; Hennepin County; Minnesota","",""
"    Estimate","507","494"
"Census Tract 1030; Hennepin County; Minnesota","",""
"    Estimate","273","669"
"Census Tract 1031; Hennepin County; Minnesota","",""
"    Estimate","450","644"
"Census Tract 1034; Hennepin County; Minnesota","",""
"    Estimate","541","906"
"Census Tract 1036; Hennepin County; Minnesota","",""
"    Estimate","864","883"
"Census Tract 1037; Hennepin County; Minnesota","",""
"    Estimate","507","2,129"
"Census Tract 1039; Hennepin County; Minnesota","",""
"    Estimate","28","1,389"
"Census Tract 1040.01; Hennepin County; Minnesota","",""
"    Estimate","212","583"
"Census Tract 1040.02; Hennepin County; Minnesota","",""
"    Estimate","192","1,316"
"Census Tract 1041; Hennepin County; Minnesota","",""
"    Estimate","299","982"
"Census Tract 1044; Hennepin County; Minnesota","",""
"    Estimate","168","1,121"
"Census Tract 1048.01; Hennepin County; Minnesota","",""
"    Estimate","0","2,167"
"Census Tract 1048.02; Hennepin County; Minnesota","",""
"    Estimate","353","1,091"
"Census Tract 1049.01; Hennepin County; Minnesota","",""
"    Estimate","0","652"
"Census Tract 1049.02; Hennepin County; Minnesota","",""
"    Estimate","271","1,693"
"Census Tract 1051; Hennepin County; Minnesota","",""
"    Estimate","1,159","201"
"Census Tract 1052.01; Hennepin County; Minnesota","",""
"    Estimate","748","1,477"
"Census Tract 1052.04; Hennepin County; Minnesota","",""
"    Estimate","300","1,796"
"Census Tract 1054; Hennepin County; Minnesota","",""
"    Estimate","600","1,461"
"Census Tract 1055; Hennepin County; Minnesota","",""
"    Estimate","1,008","1,424"
"Census Tract 1056; Hennepin County; Minnesota","",""
"    Estimate","578","2,508"
"Census Tract 1057; Hennepin County; Minnesota","",""
"    Estimate","487","1,346"
"Census Tract 1060; Hennepin County; Minnesota","",""
"    Estimate","108","1,025"
"Census Tract 1062; Hennepin County; Minnesota","",""
"    Estimate","295","1,611"
"Census Tract 1064; Hennepin County; Minnesota","",""
"    Estimate","474","593"
"Census Tract 1065; Hennepin County; Minnesota","",""
"    Estimate","1,221","1,093"
"Census Tract 1066; Hennepin County; Minnesota","",""
"    Estimate","659","649"
"Census Tract 1067; Hennepin County; Minnesota","",""
"    Estimate","515","2,699"
"Census Tract 1069; Hennepin County; Minnesota","",""
"    Estimate","275","1,146"
"Census Tract 1070; Hennepin County; Minnesota","",""
"    Estimate","203","1,800"
"Census Tract 1074; Hennepin County; Minnesota","",""
"    Estimate","475","370"
"Census Tract 1075; Hennepin County; Minnesota","",""
"    Estimate","609","238"
"Census Tract 1076; Hennepin County; Minnesota","",""
"    Estimate","1,328","263"
"Census Tract 1080; Hennepin County; Minnesota","",""
"    Estimate","669","1,351"
"Census Tract 1086; Hennepin County; Minnesota","",""
"    Estimate","527","512"
"Census Tract 1087; Hennepin County; Minnesota","",""
"    Estimate","975","696"
"Census Tract 1088; Hennepin County; Minnesota","",""
"    Estimate","647","911"
"Census Tract 1089; Hennepin County; Minnesota","",""
"    Estimate","1,044","115"
"Census Tract 1090; Hennepin County; Minnesota","",""
"    Estimate","834","40"
"Census Tract 1091; Hennepin County; Minnesota","",""
"    Estimate","1,136","1,597"
"Census Tract 1092; Hennepin County; Minnesota","",""
"    Estimate","637","1,429"
"Census Tract 1093; Hennepin County; Minnesota","",""
"    Estimate","903","1,042"
"Census Tract 1094; Hennepin County; Minnesota","",""
"    Estimate","330","241"
"Census Tract 1097; Hennepin County; Minnesota","",""
"    Estimate","682","308"
"Census Tract 1098; Hennepin County; Minnesota","",""
"    Estimate","1,401","432"
"Census Tract 1099; Hennepin County; Minnesota","",""
"    Estimate","1,187","582"
"Census Tract 1100; Hennepin County; Minnesota","",""
"    Estimate","429","100"
"Census Tract 1101; Hennepin County; Minnesota","",""
"    Estimate","1,013","357"
"Census Tract 1102; Hennepin County; Minnesota","",""
"    Estimate","1,386","193"
"Census Tract 1104; Hennepin County; Minnesota","",""
"    Estimate","1,074","639"
"Census Tract 1105; Hennepin County; Minnesota","",""
"    Estimate","1,527","968"
"Census Tract 1108; Hennepin County; Minnesota","",""
"    Estimate","1,451","463"
"Census Tract 1109; Hennepin County; Minnesota","",""
"    Estimate","1,341","172"
"Census Tract 1111; Hennepin County; Minnesota","",""
"    Estimate","1,383","228"
"Census Tract 1112; Hennepin County; Minnesota","",""
"    Estimate","1,329","111"
"Census Tract 1113; Hennepin County; Minnesota","",""
"    Estimate","1,735","202"
"Census Tract 1114; Hennepin County; Minnesota","",""
"    Estimate","1,454","137"
"Census Tract 1115; Hennepin County; Minnesota","",""
"    Estimate","1,711","468"
"Census Tract 1116; Hennepin County; Minnesota","",""
"    Estimate","1,275","85"
"Census Tract 1225; Hennepin County; Minnesota","",""
"    Estimate","1,039","517"
"Census Tract 1226; Hennepin County; Minnesota","",""
"    Estimate","874","172"
"Census Tract 1255; Hennepin County; Minnesota","",""
"    Estimate","871","672"
"Census Tract 1256; Hennepin County; Minnesota","",""
"    Estimate","753","1,009"
"Census Tract 1257; Hennepin County; Minnesota","",""
"    Estimate","723","406"
"Census Tract 1258; Hennepin County; Minnesota","",""
"    Estimate","766","888"
"Census Tract 1259; Hennepin County; Minnesota","",""
"    Estimate","555","781"
"Census Tract 1260; Hennepin County; Minnesota","",""
"    Estimate","297","1,654"
"Census Tract 1261.01; Hennepin County; Minnesota","",""
"    Estimate","718","1,334"
"Census Tract 1261.02; Hennepin County; Minnesota","",""
"    Estimate","1,052","2,474"
"Census Tract 1262.01; Hennepin County; Minnesota","",""
"    Estimate","305","1,406"
"Census Tract 1262.02; Hennepin County; Minnesota","",""
"    Estimate","979","1,827"
"Census Tract 1263; Hennepin County; Minnesota","",""
"    Estimate","422","620"
"Census Tract 9800; Hennepin County; Minnesota","",""
"    Estimate","0","0"
"Census Tract 9801; Hennepin County; Minnesota","",""
"    Estimate","0","291"
