"Label (Grouping)","Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)"
"    Estimate","75,991"
"Census Tract 259.07, Hennepin County, Minnesota",""
"    Estimate","79,417"
"Census Tract 260.05, Hennepin County, Minnesota",""
"    Estimate","88,399"
"Census Tract 260.06, Hennepin County, Minnesota",""
"    Estimate","73,259"
"Census Tract 260.07, Hennepin County, Minnesota",""
"    Estimate","76,711"
"Census Tract 260.13, Hennepin County, Minnesota",""
"    Estimate","110,694"
"Census Tract 260.14, Hennepin County, Minnesota",""
"    Estimate","115,845"
"Census Tract 260.15, Hennepin County, Minnesota",""
"    Estimate","113,795"
"Census Tract 260.16, Hennepin County, Minnesota",""
"    Estimate","103,964"
"Census Tract 260.18, Hennepin County, Minnesota",""
"    Estimate","128,427"
"Census Tract 260.19, Hennepin County, Minnesota",""
"    Estimate","69,019"
"Census Tract 260.20, Hennepin County, Minnesota",""
"    Estimate","72,478"
"Census Tract 260.21, Hennepin County, Minnesota",""
"    Estimate","108,708"
"Census Tract 260.22, Hennepin County, Minnesota",""
"    Estimate","157,558"
"Census Tract 261.01, Hennepin County, Minnesota",""
"    Estimate","90,938"
"Census Tract 261.03, Hennepin County, Minnesota",""
"    Estimate","89,597"
"Census Tract 261.04, Hennepin County, Minnesota",""
"    Estimate","63,043"
"Census Tract 262.01, Hennepin County, Minnesota",""
"    Estimate","98,708"
"Census Tract 262.02, Hennepin County, Minnesota",""
"    Estimate","98,750"
"Census Tract 262.05, Hennepin County, Minnesota",""
"    Estimate","87,423"
"Census Tract 262.06, Hennepin County, Minnesota",""
"    Estimate","85,625"
"Census Tract 262.07, Hennepin County, Minnesota",""
"    Estimate","72,250"
"Census Tract 262.08, Hennepin County, Minnesota",""
"    Estimate","87,969"
"Census Tract 263.01, Hennepin County, Minnesota",""
"    Estimate","102,500"
"Census Tract 263.02, Hennepin County, Minnesota",""
"    Estimate","107,938"
"Census Tract 264.02, Hennepin County, Minnesota",""
"    Estimate","54,127"
"Census Tract 264.03, Hennepin County, Minnesota",""
"    Estimate","59,128"
"Census Tract 264.04, Hennepin County, Minnesota",""
"    Estimate","106,063"
"Census Tract 265.05, Hennepin County, Minnesota",""
"    Estimate","90,117"
"Census Tract 265.07, Hennepin County, Minnesota",""
"    Estimate","75,332"
"Census Tract 265.08, Hennepin County, Minnesota",""
"    Estimate","85,882"
"Census Tract 265.09, Hennepin County, Minnesota",""
"    Estimate","124,122"
"Census Tract 265.10, Hennepin County, Minnesota",""
"    Estimate","68,542"
"Census Tract 265.11, Hennepin County, Minnesota",""
"    Estimate","61,313"
"Census Tract 265.12, Hennepin County, Minnesota",""
"    Estimate","67,729"
"Census Tract 265.14, Hennepin County, Minnesota",""
"    Estimate","62,059"
"Census Tract 266.05, Hennepin County, Minnesota",""
"    Estimate","100,391"
"Census Tract 266.06, Hennepin County, Minnesota",""
"    Estimate","106,406"
"Census Tract 266.09, Hennepin County, Minnesota",""
"    Estimate","76,042"
"Census Tract 266.10, Hennepin County, Minnesota",""
"    Estimate","102,027"
"Census Tract 266.11, Hennepin County, Minnesota",""
"    Estimate","67,070"
"Census Tract 266.12, Hennepin County, Minnesota",""
"    Estimate","104,605"
"Census Tract 266.13, Hennepin County, Minnesota",""
"    Estimate","126,343"
"Census Tract 267.02, Hennepin County, Minnesota",""
"    Estimate","46,125"
"Census Tract 267.06, Hennepin County, Minnesota",""
"    Estimate","85,691"
"Census Tract 267.07, Hennepin County, Minnesota",""
"    Estimate","87,544"
"Census Tract 267.08, Hennepin County, Minnesota",""
"    Estimate","78,889"
"Census Tract 267.10, Hennepin County, Minnesota",""
"    Estimate","84,632"
"Census Tract 267.11, Hennepin County, Minnesota",""
"    Estimate","71,652"
"Census Tract 267.12, Hennepin County, Minnesota",""
"    Estimate","69,939"
"Census Tract 267.13, Hennepin County, Minnesota",""
"    Estimate","78,587"
"Census Tract 267.14, Hennepin County, Minnesota",""
"    Estimate","96,654"
"Census Tract 267.15, Hennepin County, Minnesota",""
"    Estimate","118,750"
"Census Tract 267.16, Hennepin County, Minnesota",""
"    Estimate","140,165"
"Census Tract 268.07, Hennepin County, Minnesota",""
"    Estimate","47,475"
"Census Tract 268.09, Hennepin County, Minnesota",""
"    Estimate","35,996"
"Census Tract 268.10, Hennepin County, Minnesota",""
"    Estimate","39,223"
"Census Tract 268.11, Hennepin County, Minnesota",""
"    Estimate","68,864"
"Census Tract 268.12, Hennepin County, Minnesota",""
"    Estimate","77,670"
"Census Tract 268.14, Hennepin County, Minnesota",""
"    Estimate","71,719"
"Census Tract 268.15, Hennepin County, Minnesota",""
"    Estimate","62,146"
"Census Tract 268.16, Hennepin County, Minnesota",""
"    Estimate","69,217"
"Census Tract 268.18, Hennepin County, Minnesota",""
"    Estimate","53,293"
"Census Tract 268.19, Hennepin County, Minnesota",""
"    Estimate","30,039"
"Census Tract 268.20, Hennepin County, Minnesota",""
"    Estimate","102,227"
"Census Tract 268.22, Hennepin County, Minnesota",""
"    Estimate","79,122"
"Census Tract 268.23, Hennepin County, Minnesota",""
"    Estimate","96,250"
"Census Tract 269.03, Hennepin County, Minnesota",""
"    Estimate","63,703"
"Census Tract 269.06, Hennepin County, Minnesota",""
"    Estimate","89,728"
"Census Tract 269.07, Hennepin County, Minnesota",""
"    Estimate","112,102"
"Census Tract 269.08, Hennepin County, Minnesota",""
"    Estimate","79,313"
"Census Tract 269.09, Hennepin County, Minnesota",""
"    Estimate","104,009"
"Census Tract 269.10, Hennepin County, Minnesota",""
"    Estimate","83,681"
"Census Tract 270.01, Hennepin County, Minnesota",""
"    Estimate","102,670"
"Census Tract 270.02, Hennepin County, Minnesota",""
"    Estimate","87,283"
"Census Tract 271.01, Hennepin County, Minnesota",""
"    Estimate","123,173"
"Census Tract 271.02, Hennepin County, Minnesota",""
"    Estimate","98,102"
"Census Tract 272.01, Hennepin County, Minnesota",""
"    Estimate","122,552"
"Census Tract 272.02, Hennepin County, Minnesota",""
"    Estimate","67,000"
"Census Tract 272.03, Hennepin County, Minnesota",""
"    Estimate","70,917"
"Census Tract 273, Hennepin County, Minnesota",""
"    Estimate","67,835"
"Census Tract 274, Hennepin County, Minnesota",""
"    Estimate","135,645"
"Census Tract 275.01, Hennepin County, Minnesota",""
"    Estimate","71,174"
"Census Tract 275.03, Hennepin County, Minnesota",""
"    Estimate","109,738"
"Census Tract 275.04, Hennepin County, Minnesota",""
"    Estimate","113,681"
"Census Tract 276.01, Hennepin County, Minnesota",""
"    Estimate","68,467"
"Census Tract 276.02, Hennepin County, Minnesota",""
"    Estimate","80,982"
"Census Tract 277, Hennepin County, Minnesota",""
"    Estimate","111,307"
"Census Tract 1002, Hennepin County, Minnesota",""
"    Estimate","38,438"
"Census Tract 1004, Hennepin County, Minnesota",""
"    Estimate","35,688"
